,type_of_company,company_name,company_url
78,Auto Ancillaries companies,Auto.Corp.of Goa,https://www.screener.in/company/505036
79,Auto Ancillaries companies,The Hi-Tech Gear,https://www.screener.in/company/HITECHGEAR
80,Auto Ancillaries companies,Sar Auto Prod.,https://www.screener.in/company/538992
81,Auto Ancillaries companies,Waaree Tech.,https://www.screener.in/company/539337
82,Auto Ancillaries companies,Z F Steering,https://www.screener.in/company/505163
83,Auto Ancillaries companies,Hind.Composites,https://www.screener.in/company/HINDCOMPOS
84,Auto Ancillaries companies,Automotive Stamp,https://www.screener.in/company/ASAL
85,Auto Ancillaries companies,Rane Brake Lin.,https://www.screener.in/company/RBL
86,Auto Ancillaries companies,Munjal Showa,https://www.screener.in/company/MUNJALSHOW
87,Auto Ancillaries companies,Bharat Seats,https://www.screener.in/company/523229
88,Auto Ancillaries companies,Autoline Industr,https://www.screener.in/company/AUTOIND
89,Auto Ancillaries companies,Pavna Industries,https://www.screener.in/company/PAVNAIND
90,Auto Ancillaries companies,Shivam Autotech,https://www.screener.in/company/SHIVAMAUTO
91,Auto Ancillaries companies,Menon Pistons,https://www.screener.in/company/531727
92,Auto Ancillaries companies,Frontier Springs,https://www.screener.in/company/522195
93,Auto Ancillaries companies,Goldstar Power,https://www.screener.in/company/GOLDSTAR
94,Auto Ancillaries companies,Remsons Ind,https://www.screener.in/company/REMSONSIND
95,Auto Ancillaries companies,Talbros Engg.,https://www.screener.in/company/538987
96,Auto Ancillaries companies,Uravi T & Wedge,https://www.screener.in/company/URAVI
97,Auto Ancillaries companies,Sintercom India,https://www.screener.in/company/SINTERCOM
98,Auto Ancillaries companies,PPAP Automotive,https://www.screener.in/company/PPAP
99,Auto Ancillaries companies,Ucal,https://www.screener.in/company/UCAL
100,Auto Ancillaries companies,Pritika Auto,https://www.screener.in/company/PRITIKAUTO
101,Auto Ancillaries companies,Jay Ushin,https://www.screener.in/company/513252
102,Auto Ancillaries companies,Kinetic Engg.,https://www.screener.in/company/500240
103,Auto Ancillaries companies,Sundaram Brake,https://www.screener.in/company/SUNDRMBRAK
104,Auto Ancillaries companies,Rane Engine Val.,https://www.screener.in/company/RANEENGINE
105,Auto Ancillaries companies,Shigan Quantum,https://www.screener.in/company/SHIGAN
106,Auto Ancillaries companies,IP Rings,https://www.screener.in/company/523638
107,Auto Ancillaries companies,Jullundur Motor,https://www.screener.in/company/JMA
108,Auto Ancillaries companies,Bharat Gears,https://www.screener.in/company/BHARATGEAR
109,Auto Ancillaries companies,Akar Auto Indust,https://www.screener.in/company/530621
110,Auto Ancillaries companies,Triton Valves,https://www.screener.in/company/505978
111,Auto Ancillaries companies,Samkrg Pistons,https://www.screener.in/company/520075
112,Auto Ancillaries companies,Him Teknoforg.,https://www.screener.in/company/505712
113,Auto Ancillaries companies,SAL Automotive,https://www.screener.in/company/539353
114,Auto Ancillaries companies,Omax Autos,https://www.screener.in/company/OMAXAUTO
115,Auto Ancillaries companies,Kranti Industrie,https://www.screener.in/company/542459
116,Auto Ancillaries companies,Setco Automotive,https://www.screener.in/company/SETCO
117,Auto Ancillaries companies,Hindustan Hardy,https://www.screener.in/company/505893
